price,location,distance,amenities,ratings,type
17820,"Fort Kochi, Cochin",,Outdoor swimming pool Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Facilities for disabled guests Family rooms 24-hour front desk Breakfast ,7.7,Museum Room
7875,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms 24-hour front desk Superb breakfast,7.4,Deluxe Double Room
4203,"Fort Kochi, Cochin",,Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Family rooms 24-hour front desk Very good breakfast,9.4,Economy Double Room
5000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking 24-hour front desk ,9.4,Budget Twin Room
2326,"Ernakulam, Cochin",,Free WiFi ,1.0,Classic Triple Room
13662,"Ernakulam, Cochin",,Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,7.2,Standard Double Room
5545,"Ernakulam, Cochin",,Restaurant Free WiFi Free parking Breakfast ,7.2,Economy Double Room
27495,"Ernakulam, Cochin",,Outdoor swimming pool Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar ,7.3,Superior Room City View Queen Bed
31875,"Fort Kochi, Cochin",,Outdoor swimming pool Airport shuttle Non-smoking rooms Restaurant Free WiFi Free parking Facilities for disabled guests Family rooms 24-hour front desk Good breakfast,8.8,Bastion Room
16000,"Ernakulam, Cochin",,Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests 24-hour front desk Tea/coffee maker in all rooms Bar ,7.9,Standard Twin Room
15277,"Fort Kochi, Cochin",,Non-smoking rooms Free WiFi 24-hour front desk ,9.0,Deluxe Double Room
11000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Exceptional breakfast,9.1,Budget Double Room
13437,"Ernakulam, Cochin",,Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests Family rooms 24-hour front desk Good breakfast,8.2,Deluxe Double or Twin Room
8000,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Free parking Family rooms 24-hour front desk Exceptional breakfast,8.1,Deluxe Double Room
12375,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,8.4,Deluxe Double Room
15995,"Ernakulam, Cochin",,Fitness centre Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests 24-hour front desk Tea/coffee maker in all rooms Good breakfast,7.6,Standard Queen Room
5000,"Fort Kochi, Cochin",,Free parking Bar ,9.5,Deluxe Double Room with Bath
7500,"Fort Kochi, Cochin",,Free WiFi Free parking 24-hour front desk Good breakfast,9.1,Deluxe Room
13525,Cochin,,Non-smoking rooms Room service Free WiFi Free parking Family rooms ,8.3,One-Bedroom Apartment
14685,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi 24-hour front desk Tea/coffee maker in all rooms ,9.0,Deluxe Double or Twin Room with Balcony
4500,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk Exceptional breakfast,9.1,Budget Double Room
16962,"Fort Kochi, Cochin",,Outdoor swimming pool Non-smoking rooms Free WiFi 24-hour front desk ,8.8,Standard Double or Twin Room
16000,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,9.0,Superior Room
4000,"Fort Kochi, Cochin",,Airport shuttle (free) Room service Free WiFi Free parking Beachfront Family rooms 24-hour front desk Breakfast ,9.1,Standard Double Room
