price,location,distance,amenities,ratings,type
2300,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Free parking Room service Fitness centre Facilities for disabled guests 24-hour front desk Breakfast ,5.2,King Suite with Pool View
779,Lucknow,,,1.0,Standard Double Room
2669,"Gomti Nagar, Lucknow",,Free WiFi Restaurant Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Fabulous breakfast,8.3,Deluxe Room
1004,Lucknow,,Room service 24-hour front desk ,8.0,Classic Triple Room
2250,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms Facilities for disabled guests 24-hour front desk Breakfast ,8.8,Deluxe Room
655,Lucknow,,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Breakfast ,6.0,Standard Double Room
1950,Lucknow,,Family rooms Room service Non-smoking rooms 24-hour front desk Breakfast ,7.5,Deluxe Room
1433,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk Breakfast ,7.7,Deluxe Room
4100,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Fitness centre Tea/coffee maker in all rooms Bar Good breakfast,7.4,"2 Twin/Single Beds, City View, Guest Room"
702,Lucknow,,Room service 24-hour front desk ,7.306349206349206,Classic Triple Room
734,Lucknow,,Free WiFi Room service 24-hour front desk ,7.306349206349206,Classic Triple Room
1955,Lucknow,,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Very good breakfast,7.7,Deluxe Room
2500,"Gomti Nagar, Lucknow",,Swimming Pool Free WiFi Free parking ,9.0,One-Bedroom Apartment
2300,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Free parking Room service Fitness centre Facilities for disabled guests 24-hour front desk Breakfast ,5.2,King Suite with Pool View
779,Lucknow,,,1.0,Standard Double Room
1004,Lucknow,,Room service 24-hour front desk ,8.0,Classic Triple Room
655,Lucknow,,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Breakfast ,6.0,Standard Double Room
4500,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Tea/coffee maker in all rooms Bar Very good breakfast,7.6,Standard Twin Room
4799,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Fitness centre Bar Breakfast ,7.8,Superior King Room with Sofa Bed
1228,"Gomti Nagar, Lucknow",,,7.306349206349206,Classic Triple Room
1950,Lucknow,,Family rooms Room service Non-smoking rooms 24-hour front desk Breakfast ,7.5,Deluxe Room
512,"Gomti Nagar, Lucknow",,Room service 24-hour front desk ,7.306349206349206,Classic Triple Room
4306,Lucknow,,Family rooms Restaurant Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Bar Breakfast ,9.3,King Room
6250,"Gomti Nagar, Lucknow",,2 swimming pools Free WiFi Restaurant Free parking Room service Spa and wellness centre Airport shuttle Tea/coffee maker in all rooms Bar Good breakfast,7.7,King Room
850,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Airport shuttle (free) Non-smoking rooms Bar Breakfast ,7.4,Deluxe Family Room
6650,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle (free) Non-smoking rooms 24-hour front desk ,7.5,Double Room
2722,Lucknow,,Free WiFi Family rooms Restaurant Room service Non-smoking rooms 24-hour front desk Breakfast ,7.0,Standard Double or Twin Room
709,Lucknow,,Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Breakfast ,9.5,Deluxe Double Room
1100,Lucknow,,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk ,7.306349206349206,Deluxe Room
2600,Lucknow,,Swimming Pool Free WiFi Free parking ,7.306349206349206,One-Bedroom Apartment
1009,Lucknow,,Free WiFi Room service 24-hour front desk ,7.306349206349206,Classic Triple Room
1183,Lucknow,,Family rooms Free parking Room service Airport shuttle (free) Non-smoking rooms 24-hour front desk Breakfast ,1.3,Deluxe Room
925,Kottayam,,Free WiFi Family rooms Free parking Airport shuttle ,6.1,Deluxe Double Room
2050,Kottayam,,2 swimming pools Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Tea/coffee maker in all rooms Bar Breakfast ,6.4,Standard Double or Twin Room
1728,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Breakfast ,5.2,Deluxe Room
4500,Kottayam,,Free WiFi Free parking Room service Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Bar Good breakfast,7.9,Studio
2650,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Bar ,8.4,Standard Double Room
2765,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Non-smoking rooms Tea/coffee maker in all rooms Bar Good breakfast,7.8,Deluxe Double Room
4038,Kottayam,,2 swimming pools Free WiFi Restaurant Free parking Room service Airport shuttle Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Bar ,6.4,Deluxe Double Room
999,Kottayam,,Free WiFi Free parking Room service ,6.7,Standard Double Room with Fan
1800,Kottayam,,Free WiFi Family rooms Free parking Non-smoking rooms Facilities for disabled guests ,7.8,Standard Apartment
5950,Kottayam,,Free parking ,8.0,Apartment
2160,Kottayam,,Family rooms Free parking Room service Airport shuttle (free) Non-smoking rooms Tea/coffee maker in all rooms ,7.5,Deluxe Double Room
2268,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Bar ,6.9,Standard Double Room
3900,Kottayam,,Family rooms Restaurant Free parking Room service Airport shuttle Facilities for disabled guests Tea/coffee maker in all rooms Breakfast ,8.9,Deluxe Double Room
1750,Kottayam,,Free parking ,7.213636363636363,Double Room
2800,Kottayam,,Family rooms Free parking ,9.0,Two-Bedroom Apartment
2500,Kottayam,,Free WiFi Family rooms Restaurant Free parking Room service Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Bar Breakfast ,6.8,Standard Double Room
1699,Kottayam,,Free WiFi Free parking Tea/coffee maker in all rooms ,9.1,Double Room
1120,Kottayam,,Free WiFi Free parking ,5.1,Budget Double Room
